customer_id;credit_lines_outstanding;loan_amt_outstanding;total_debt_outstanding;income;years_employed;fico_score;default
8711328;5;4.926.741.674;1.894.313.978;7.213.600.622;4;622;1
3866572;1;440.832.239;6.702.412.553;792.682.046;5;610;0
6610306;5;5.390.873.161;3.044.176.235;9.184.402.459;2;584;1
3291949;3;6.596.195.494;160.869.749;9.195.222.747;4;628;0
5500676;0;4.539.190.184;6.126.144.466;8.651.854.294;4;724;0
6789710;1;2.313.344.837;3.211.670.516;3.812.495.405;5;620;0
5006585;1;3.560.648.035;527.374.225;6.049.719.791;6;563;0
7586510;0;6.679.103.143;3.956.076.166;8.659.894.627;6;678;0
3578717;0;6.064.123.004;4.651.182.782;8.331.608.541;4;602;0
7772698;1;3.814.162.931;6.141.232.793;674.501.106;5;672;0
7362864;2;2.937.878.102;5.093.558.864;5.789.437.634;8;724;0
4085765;0;5.227.304.902;2.691.896.355;6.917.002.023;4;626;0
3700938;0;428.742.859;750.336.695;7.795.779.285;4;749;0
2691552;5;3.772.763.476;1.414.906.605;5.958.426.177;5;582;1
4418770;2;4.629.349.219;9.963.382.976;8.389.164.859;8;693;0
4240531;1;5.466.033.694;9.941.901.446;8.655.477.009;6;632;0
2463684;1;4.299.363.828;484.519.607;5.163.108.241;6;655;0
7987506;2;3.941.702.572;922.390.984;6.727.784.361;6;693;0
1069228;0;3.815.899.042;3.672.601.881;5.354.949.228;3;721;0
6043209;1;3.214.507.783;8.410.327.087;8.213.909.878;4;710;0
3696341;5;5.114.174.723;2.977.741.208;1.050.985.136;3;541;1
7164264;1;3.878.313.431;7.861.594.153;6.035.934.399;6;587;0
2056764;0;2.674.325.465;1.137.337.287;3.733.603.927;4;581;0
8838592;5;4.429.009.343;267.164.405;9.968.345.517;3;572;1
1333173;1;5.582.363.567;1.209.547.957;1.034.192.758;3;706;0
8044249;4;6.151.278.331;2.325.514.566;8.604.689.206;1;582;1
7513697;0;3.290.896.426;5.657.631.026;7.348.618.279;5;710;0
6855647;1;5.050.121.922;9.127.972.294;9.712.987.374;6;705;0
7705484;0;21.490.705;1.594.604.164;4.147.113.448;5;672;0
8353705;4;2.448.725.785;8.633.235.167;3.882.562.225;6;568;1
2438598;0;4.979.313.632;4.406.527.131;7.293.539.338;4;511;0
4697237;1;4.267.109.917;1.012.565.275;7.169.376.513;4;640;0
5606201;0;2.869.296.274;4.440.416.974;5.372.666.419;4;709;0
8657174;0;3.037.025.908;6.130.814.575;6.232.467.423;2;707;0
7945285;0;1.834.414.296;1.585.684.165;3.269.406.961;8;651;0
8544432;0;5.291.484.161;8.467.774.634;8.467.774.634;3;662;0
6299123;2;5.174.483.976;1.359.812.768;9.612.243.767;7;766;0
5785982;0;3.123.551.351;2.848.412.825;491.417.287;6;692;0
3913463;1;3.726.430.399;5.573.155.053;6.689.813.695;6;590;0
5689764;0;4.464.454.642;621.064.164;7.348.670.488;5;657;0
3781641;3;5.235.733.354;1.790.807.126;8.797.616.249;2;592;1
8759358;2;4.784.129.283;909.704.171;7.551.882.694;7;718;0
2306791;0;4.069.066.702;2.222.133.458;7.985.659.991;3;720;0
1581185;0;3.748.408.787;5.177.990.608;614.540.597;3;636;0
6093138;0;2.042.493.602;3.838.508.156;386.603.946;2;654;0
8578451;0;3.895.269.812;4.945.140.186;5.973.250.624;4;513;0
3365880;5;4.278.794.095;1.709.249.453;5.728.969.237;4;587;1
2293998;2;5.164.430.161;6.421.567.001;7.416.490.788;7;671;0
7427998;1;2.383.024.193;3.896.092.048;4.450.778.601;5;655;0
4587569;5;5.716.666.522;2.781.421.041;9.991.764.426;3;609;1
7648411;0;4.970.615.776;6.453.297.616;7.857.268.649;5;641;0
7844104;0;6.027.724.179;5.806.646.784;7.307.746.245;4;621;0
2786846;1;3.498.809.573;1.075.579.258;8.646.277.035;5;658;0
8633630;5;7.880.378.251;3.566.600.602;1.106.192.778;4;594;1
8050047;2;2.437.191.313;1.142.401.949;6.695.135.809;5;622;0
6048680;2;3.080.127.733;7.832.558.514;5.566.454.023;7;636;0
4922734;1;2.752.117.415;4.798.919.493;5.060.882.719;5;603;0
1454794;0;4.033.267.836;674.501.641;674.501.641;5;619;0
7101821;0;3.701.529.835;3.517.488.543;1.087.575.181;6;646;0
4260463;4;571.343.439;2.140.127.554;8.162.755.137;3;533;1
5918490;0;2.775.333.229;4.337.521.174;5.630.700.135;3;672;0
2280203;1;2.600.417.306;6.322.254.678;5.751.594.978;6;598;0
4205161;1;8.087.428.082;1.068.459.426;1.067.829.886;7;726;0
4765821;5;4.993.661.861;1.709.106.383;7.113.619.395;3;641;1
5369590;0;3.885.381.657;6.371.889.573;6.172.455.755;2;669;0
1680523;4;3.823.758.134;1.448.829.674;543.296.369;1;556;1
1118848;2;6.149.398.454;1.683.485.218;1.003.347.139;3;659;0
5749285;0;4.220.273.755;4.191.787.428;6.209.769.927;6;735;0
6744637;0;6.287.503.576;7.028.876.911;9.157.892.445;4;571;0
4991477;5;3.305.069.595;2.552.098.329;9.077.447.952;5;509;1
2616205;1;451.334.276;6.340.695.367;8.309.956.165;5;626;0
2007934;0;1.766.099.016;5.844.968.544;2.951.852.333;4;678;0
6889981;0;3.517.154.827;3.036.347.572;6.298.814.903;6;634;0
6238176;1;4.751.479.803;6.860.502.634;6.459.180.832;6;657;0
5820678;0;1.800.207.678;2.965.909.171;2.965.909.171;4;637;0
7946965;0;4.613.290.613;1.555.766.149;6.458.398.545;5;684;0
2877561;0;3.184.872.696;396.938.643;4.306.959.111;2;692;0
7047567;2;2.789.584.509;1.139.867.272;6.843.805.762;6;723;0
7069051;0;2.689.498.576;4.004.572.287;5.119.276.073;3;562;0
5449669;1;2.875.904.756;5.709.994.486;4.652.324.506;7;713;0
2081349;0;3.911.921.829;3.617.612.501;8.754.879.748;5;598;0
4580778;0;7.179.330.435;9.808.671.634;1.067.043.437;3;584;0
7636397;1;441.002.249;8.753.394.822;8.161.507.161;6;651;0
5291335;2;6.059.880.611;1.243.912.657;9.285.205.008;9;626;0
5567448;0;4.509.720.845;6.913.974.978;8.314.648.342;3;583;0
4289123;1;3.057.966.392;6.122.499.682;6.542.005.402;5;674;0
1961905;0;6.383.282.594;7.598.675.434;9.477.664.247;5;633;0
4612284;4;3.976.583.011;1.626.224.358;6.051.341.862;1;559;1
8584572;2;3.850.363.446;112.268.107;7.259.103.982;6;684;0
2373091;1;216.121.338;3.841.606.668;3.480.139.284;4;735;0
4267324;1;5.876.816.909;1.101.278.109;102.082.148;6;636;0
1269925;0;3.873.883.058;6.417.802.407;8.476.440.821;6;756;0
2882473;1;344.565.807;4.603.413.081;5.743.249.036;5;653;0
3357892;1;2.762.785.258;4.325.307.754;5.305.563.541;7;685;0
7617481;0;379.611.828;5.896.570.324;7.783.942.879;4;682;0
2553234;0;2.699.789.507;6.804.998.763;4.140.615.383;7;774;0
7890012;1;5.207.648.647;8.965.955.823;879.917.105;5;697;0
2165351;0;3.214.882.664;1.999.123.479;5.342.372.172;3;614;0
6733204;5;4.720.508.454;2.794.797.458;9.209.059.824;3;584;1
5096588;1;2.267.137.681;4.199.813.052;344.916.855;4;641;0
6528734;0;1.513.430.554;2.244.788.712;235.592.695;4;643;0
2021963;0;2.531.447.219;4.757.480.327;4.989.287.125;4;680;0
5423923;1;3.606.145.796;6.250.846.741;6.075.629.889;5;679;0
3772158;0;1.796.157.595;2.207.473.922;2.501.049.189;3;563;0
1067669;0;2.299.140.531;2.811.547.627;3.648.306.858;3;742;0
4744929;5;3.119.189.274;1.470.721.334;5.233.750.182;2;532;1
4906003;5;4.615.493.085;1.478.473.985;5.755.867.918;6;607;1
4981578;4;1.676.725.984;76.475.926;3.373.256.011;4;686;1
5001814;0;357.501.957;5.101.294.701;6.322.638.732;5;634;0
2440434;2;4.211.644.124;8.643.382.528;690.784.778;7;730;0
1273611;1;2.415.207.956;4.946.684.255;6.212.291.383;6;545;0
8373345;0;4.790.726.048;3.236.670.635;7.346.687.582;5;531;0
7431518;1;288.487.081;3.317.616.697;4.987.052.536;7;697;0
3215472;0;3.924.027.779;12.696.574;5.071.261.537;1;677;0
5557443;0;3.294.758.388;1.939.218.362;6.284.321.378;5;656;0
1030143;2;2.785.562.364;6.000.632.244;4.732.874.131;5;634;0
2906359;1;5.253.969.111;8.804.099.595;7.676.975.496;5;751;0
7285064;1;3.459.988.698;5.361.699.369;5.977.198.294;6;645;0
4058072;0;3.874.611.528;3.206.100.312;7.226.690.664;6;587;0
3002299;2;4.243.873.888;8.509.170.811;7.464.489.747;6;555;0
4792678;5;6.120.536.516;2.622.102.363;9.220.228.574;4;556;1
1335117;1;3.949.704.843;9.605.213.264;8.556.577.455;5;648;0
3783531;4;3.872.037.505;2.056.388.969;9.759.082.395;7;562;0
7258185;1;3.966.361.901;6.527.980.392;5.960.204.717;6;596;0
3859923;0;4.146.561.685;5.398.562.837;6.437.534.127;3;554;0
6665216;1;4.009.047.569;7.732.618.698;9.052.596.665;6;667;0
5851653;4;3.100.809.827;1.405.489.085;5.252.144.393;3;632;1
1737356;2;3.206.807.748;1.133.142.777;6.316.828.394;3;525;0
3611286;0;4.110.704.846;3.694.286.204;6.071.799.748;3;649;0
4570465;5;616.380.366;2.289.173.376;7.487.965.589;3;587;1
6383101;1;4.110.069.891;4.137.760.699;5.941.210.933;6;712;0
6928881;1;5.223.989.125;7.286.720.638;8.099.162.193;5;667;0
6990394;0;3.245.900.545;5.009.467.425;6.742.665.003;6;645;0
3118724;1;6.254.294.876;1.140.709.564;9.094.914.318;3;646;0
5864535;4;4.104.430.298;1.423.309.362;6.348.952.438;5;606;1
3224310;0;4.277.033.817;4.359.413.104;5.889.309.953;4;598;0
2135773;1;4.371.119.339;6.693.943.774;6.284.260.262;6;612;0
3498275;5;4.489.257.545;1.725.983.077;6.840.178.688;2;490;1
5627376;4;4.524.685.153;1.576.959.733;7.882.916.466;7;635;0
6894544;0;2.857.504.441;4.060.096.054;4.506.501.727;4;694;0
8038807;1;6.344.103.973;7.070.706.589;7.604.741.915;5;686;0
5136010;0;686.267.927;7.079.410.363;9.970.010.233;3;655;0
5894894;0;3.417.068.064;3.531.732.672;5.060.567.841;4;521;0
5183117;0;501.865.874;6.452.636.268;1.017.856.326;4;672;0
2168984;3;5.789.876.446;1.308.975.902;852.995.896;6;533;0
8919556;1;3.379.990.953;44.981.144;5.564.125.311;6;673;0
8873003;0;3.815.773.053;4.200.687.468;5.875.799.978;2;683;0
3190566;2;5.194.982.427;8.474.763.456;6.381.434.365;3;548;0
6891209;0;3.136.403.561;3.087.738.958;5.731.821.955;6;628;0
2349734;2;3.740.981.862;9.458.390.922;6.641.717.914;8;749;0
8019493;4;6.385.692.022;2.603.090.423;1.050.211.982;5;607;1
2721623;0;3.175.865.888;3.578.399.513;4.846.667.143;4;685;0
4408488;4;4.250.229.531;1.193.799.899;6.170.529.339;8;650;0
4155437;3;3.975.339.515;1.180.940.062;643.451.119;4;568;0
5746142;1;642.552.202;9.610.401.872;8.951.187.532;4;681;0
8582355;2;5.020.632.179;8.967.049.059;7.404.440.332;8;662;0
4417198;0;509.576.272;7.560.917.967;9.214.533.913;4;566;0
5918878;0;3.227.726.625;2.620.095.856;4.517.662.211;6;580;0
6985554;1;6.160.555.766;1.101.764.312;9.141.751.615;7;597;0
4500354;2;4.241.954.095;1.281.787.288;8.156.523.724;4;656;0
6542730;3;3.456.057.137;935.940.711;5.567.987.011;8;741;0
4894594;0;411.977.832;560.084.323;7.258.389.993;5;695;0
7814104;0;2.130.744.776;2.260.426.609;4.085.425.593;3;669;0
7337338;2;2.420.921.903;4.096.213.675;4.049.183.663;7;716;0
6490869;1;4.632.523.416;6.998.099.411;832.676.424;7;666;0
2100829;1;5.652.163.333;747.188.945;9.384.757.552;6;733;0
2385096;0;124.536.597;636.920.466;1.846.458.613;3;475;0
4963158;0;3.648.628.104;2.660.769.199;5.332.152.026;3;558;0
1976547;5;4.353.616.955;2.691.899.298;8.532.042.731;4;589;1
8352529;0;6.283.730.938;2.867.416.421;9.242.901.896;3;633;0
6557988;5;6.465.619.257;2.578.852.416;8.620.990.661;4;686;1
6757594;0;2.554.192.452;2.032.891.786;627.944.263;4;689;0
3842204;5;3.303.413.563;1.408.108.903;5.406.582.427;3;673;1
7964164;3;1.838.417.197;9.226.523.255;4.072.400.693;5;649;0
2685945;5;5.827.699.094;2.659.577.806;8.840.412.011;2;579;1
3553471;0;2.955.884.729;2.922.809.204;4.647.117.864;4;592;0
2118635;0;6.125.745.268;2.375.164.565;8.648.223.586;2;591;0
2044719;5;260.955.343;1.203.106.091;4.110.584.434;5;728;1
8419252;0;2.322.380.465;2.440.027.074;3.849.215.745;4;649;0
1925180;5;3.953.622.655;1.665.262.854;5.621.961.162;3;642;1
2852293;2;6.358.093.287;1.661.019.224;9.543.026.906;5;626;0
1628363;1;7.729.706.822;1.988.146.746;1.908.280.078;3;615;0
6747106;0;3.702.538.282;2.408.572.436;7.549.927.123;5;655;0
7595098;1;4.250.859.078;6.010.114.775;7.305.785.734;7;752;0
8425387;3;5.958.102.339;129.414.633;7.000.234.484;4;582;0
2332956;5;3.479.502.788;1.493.180.856;5.698.892.226;4;520;1
5328237;2;3.325.686.655;1.313.421.962;8.601.203.221;4;626;0
5269776;0;4.738.594.387;6.702.079.563;9.498.272.693;3;637;0
8724194;5;4.194.339.297;1.794.014.287;6.718.866.182;3;558;1
2437702;1;5.720.344.503;1.021.700.208;8.932.199.075;6;715;0
8399441;0;4.545.342.262;655.499.744;8.155.614.511;5;547;0
3964026;0;6.631.715.979;8.289.561.229;1.031.717.885;3;683;0
4415763;0;2.863.629.712;2.979.892.352;4.910.701.107;2;669;0
7500422;2;6.263.446.796;1.552.582.364;8.638.875.053;5;616;0
2429834;3;5.268.472.872;1.719.148.776;8.427.181.285;4;606;0
5976325;0;3.494.585.538;5.019.361.403;7.463.960.108;3;682;0
4795685;1;2.233.040.504;546.221.697;4.957.176.917;6;694;0
8528290;0;5.413.322.548;3.473.557.926;7.327.728.454;4;571;0
6538976;5;5.069.924.765;2.706.174.485;877.528.963;4;605;1
6203032;0;672.454.209;373.862.143;8.701.298.514;2;760;0
6864481;0;3.278.505.192;4.650.685.435;6.448.968.835;5;648;0
4294684;0;4.694.615.787;4.860.423.871;7.400.695.216;4;693;0
3063966;4;4.881.630.077;1.983.704.438;8.252.613.401;5;652;1
1899325;0;4.224.620.829;3.210.856.377;8.734.192.211;5;706;0
4231925;1;4.366.062.947;1.141.762.362;9.632.980.726;3;585;0
6328138;0;1.628.224.064;1.178.728.237;2.294.551.843;3;613;0
6282008;2;3.736.312.607;1.022.241.948;5.982.647.942;3;640;0
4074480;1;2.503.071.141;3.989.566.811;3.577.583.173;6;674;0
8605191;0;5.754.108.133;1.727.817.099;7.316.831.154;4;594;0
3674432;1;4.046.886.347;8.056.459.594;6.715.601.152;5;696;0
4719420;1;4.821.075.352;7.447.861.135;8.090.649.679;6;595;0
7579723;4;3.889.452.505;1.457.286.442;5.859.322.685;2;682;1
6505931;0;333.848.609;5.389.226.165;7.077.995.097;5;522;0
2136532;0;3.312.712.812;29.329.688;5.984.570.049;5;710;0
7212875;2;7.757.389.118;1.384.732.655;105.325.469;6;673;0
3666279;0;214.199.784;2.516.832.393;425.005.186;3;631;0
8294885;2;3.353.219.834;778.464.305;525.039.492;7;775;0
1436334;0;5.444.719.522;6.443.983.359;7.219.037.068;4;683;0
6649387;0;1.791.898.603;2.484.332.424;4.347.480.633;4;615;0
2325952;4;7.257.145.233;338.465.435;1.213.460.514;0;692;1
7506533;5;7.516.613.946;3.443.128.513;110.858.505;3;659;1
5935610;5;3.838.979.905;1.798.711.053;6.936.465.894;6;523;1
7583358;1;4.442.595.893;5.781.417.232;7.684.299.478;7;653;0
6979004;0;4.085.634.878;8.206.393.796;8.206.393.796;4;557;0
8099678;2;3.973.657.805;9.369.089.493;6.368.796.336;5;725;0
3122757;1;5.318.358.155;684.642.862;9.013.715.643;5;645;0
3735509;3;5.043.896.491;1.481.674.108;8.348.106.361;5;643;0
6163884;1;3.692.192.911;6.227.510.502;6.436.464.003;7;656;0
5449290;2;8.729.634.257;1.518.099.072;1.162.898.622;5;547;0
2624090;3;5.737.754.755;1.700.967.596;8.115.056.651;5;591;0
8552887;1;5.288.426.456;5.237.528.081;8.391.092.987;6;670;0
8737744;1;5.192.897.588;1.191.863.576;8.746.695.298;3;535;0
4788945;2;4.865.847.316;1.523.816.133;9.376.887.711;6;680;0
8849531;0;2.582.405.695;1.459.953.649;3.990.680.807;2;604;0
6350228;0;4.613.023.974;662.904.622;1.025.967.528;2;587;0
5953991;2;1.559.787.581;4.601.123.932;2.548.921.675;3;680;0
3659357;0;3.964.219.887;3.297.161.548;5.898.156.294;2;610;0
7715955;1;4.686.171.327;6.981.038.364;6.679.816.522;5;688;0
2951271;0;7.870.565.358;5.059.104.252;9.664.944.895;6;736;0
7692292;0;4.232.818.033;5.699.713.752;7.701.316.561;5;629;0
8896053;0;4.175.187.748;2.875.543.945;595.083.302;4;565;0
4182456;0;2.492.606.451;4.228.410.783;5.130.471.935;5;635;0
7173017;5;627.760.766;2.926.830.503;9.676.669.729;4;502;1
7662017;0;3.420.828.745;3.552.974.616;6.283.886.515;5;751;0
4080181;3;4.646.266.068;1.344.232.491;6.070.168.951;2;636;1
4458023;1;2.602.371.704;5.358.833.175;5.310.993.483;7;637;0
1769864;5;8.638.366.979;3.278.935.274;1.116.314.497;4;627;1
1743855;1;1.398.610.404;2.649.708.007;2.197.697.259;4;808;0
4733481;0;4.073.509.733;2.605.016.456;5.872.257.072;5;628;0
8926250;5;5.147.240.256;2.417.204.657;802.635.013;5;699;1
6982915;0;2.044.175.904;282.232.483;5.329.182.315;5;571;0
8801271;5;1.161.622.575;4.358.676.331;1.567.904.216;3;656;1
1994622;0;2.400.011.482;2.940.287.718;4.117.941.264;3;702;0
5577735;0;4.408.530.867;6.526.566.353;8.085.542.605;3;598;0
4739563;1;6.055.781.329;1.166.925.375;9.446.180.098;3;583;0
2831029;1;3.562.599.104;5.049.934.779;5.195.808.895;6;585;0
8768241;0;3.048.242.505;232.084.863;5.168.657.087;3;631;0
3465582;0;3.480.248.736;5.225.467.493;5.470.268.846;4;710;0
5166994;0;5.539.953.278;601.877.226;8.238.301.556;4;587;0
7434183;4;3.103.399.217;1.322.235.757;5.694.383.738;5;595;1
4916162;1;5.315.399.029;1.210.595.241;1.160.336.859;5;718;0
3940405;1;5.103.454.463;649.428.236;7.011.971.569;4;696;0
4974939;0;3.182.855.198;5.625.584.262;6.630.575.915;5;641;0
7930626;0;4.414.107.643;8.292.948.642;7.864.436.769;5;597;0
1483377;0;2.782.976.666;4.693.405.651;6.157.474.352;5;636;0
1869686;3;213.455.906;6.982.246.551;3.395.582.279;2;622;1
7583003;0;4.108.411.025;6.109.221.156;6.840.383.758;4;705;0
4963164;3;3.518.762.182;132.868.404;6.681.245.997;5;627;0
6270923;1;6.213.579.561;1.145.060.109;1.008.368.991;4;587;0
8469963;5;4.424.819.601;2.038.426.767;7.398.350.212;5;466;1
2815777;3;4.149.558.504;1.261.142.901;6.898.927.516;4;676;0
5736580;5;4.655.037.497;1.780.515.733;6.187.803.605;4;665;1
1048623;0;477.475.626;4.469.535.616;7.777.230.174;6;645;0
6467769;5;4.280.901.448;2.133.762.586;7.120.707.966;3;536;1
4473386;0;1.900.986.419;3.847.513.701;4.125.323.552;4;670;0
4467576;2;5.149.749.879;1.124.829.766;7.655.843.967;3;577;0
3991729;0;1.798.781.031;1.125.853.784;3.096.575.281;6;648;0
1473500;2;2.886.299.266;8.551.678.397;7.242.127.727;8;693;0
4127457;5;4.526.204.583;1.826.357.037;68.132.125;2;638;1
3819169;0;3.593.848.813;6.484.536.847;6.484.536.847;5;653;0
8301445;1;4.380.282.081;7.210.509.415;8.180.558.229;6;726;0
3937900;0;4.288.289.789;3.218.942.708;7.586.645.738;2;610;0
3112394;1;2.837.829.935;5.097.639.862;5.639.390.288;5;607;0
5647158;1;5.050.294.751;8.271.918.182;7.795.406.858;6;744;0
1520115;3;2.083.689.551;5.628.897.462;3.774.953.899;7;708;0
7892975;0;30.412.662;3.628.841.776;4.944.567.245;4;640;0
2431885;0;280.836.336;6.337.052.285;5.988.720.754;4;642;0
5243213;0;3.877.815.839;7.412.771.296;8.056.818.389;4;655;0
6999739;0;2.853.326.396;3.086.037.758;4.383.853.453;5;536;0
6375728;0;228.240.746;2.915.238.449;4.030.778.339;3;573;0
6207716;5;4.029.120.901;236.080.297;7.068.873.847;4;596;1
7629971;5;3.837.924.807;2.010.533.823;60.772.965;4;578;1
