credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
5,4278794095,1709249453,5728969237,4,587,1
2,5164430161,6421567001,7416490788,7,671,0
1,2383024193,3896092048,4450778601,5,655,0
5,5716666522,2781421041,9991764426,3,609,1
0,4970615776,6453297616,7857268649,5,641,0
0,6027724179,5806646784,7307746245,4,621,0
1,3498809573,1075579258,8646277035,5,658,0
5,7880378251,3566600602,1106192778,4,594,1
2,2437191313,1142401949,6695135809,5,622,0
2,3080127733,7832558514,5566454023,7,636,0
1,2752117415,4798919493,5060882719,5,603,0
0,4033267836,674501641,674501641,5,619,0
0,3701529835,3517488543,1087575181,6,646,0
4,571343439,2140127554,8162755137,3,533,1
0,2775333229,4337521174,5630700135,3,672,0
1,2600417306,6322254678,5751594978,6,598,0
1,8087428082,1068459426,1067829886,7,726,0
5,4993661861,1709106383,7113619395,3,641,1
0,3885381657,6371889573,6172455755,2,669,0
4,3823758134,1448829674,543296369,1,556,1
2,6149398454,1683485218,1003347139,3,659,0
0,4220273755,4191787428,6209769927,6,735,0
0,6287503576,7028876911,9157892445,4,571,0
5,3305069595,2552098329,9077447952,5,509,1
1,451334276,6340695367,8309956165,5,626,0
0,1766099016,5844968544,2951852333,4,678,0
0,3517154827,3036347572,6298814903,6,634,0
1,4751479803,6860502634,6459180832,6,657,0
0,1800207678,2965909171,2965909171,4,637,0
0,4613290613,1555766149,6458398545,5,684,0
0,3184872696,396938643,4306959111,2,692,0
2,2789584509,1139867272,6843805762,6,723,0
0,2689498576,4004572287,5119276073,3,562,0
1,2875904756,5709994486,4652324506,7,713,0
0,3911921829,3617612501,8754879748,5,598,0
0,7179330435,9808671634,1067043437,3,584,0
1,441002249,8753394822,8161507161,6,651,0
2,6059880611,1243912657,9285205008,9,626,0
0,4509720845,6913974978,8314648342,3,583,0
1,3057966392,6122499682,6542005402,5,674,0
0,6383282594,7598675434,9477664247,5,633,0
4,3976583011,1626224358,6051341862,1,559,1
2,3850363446,112268107,7259103982,6,684,0
1,216121338,3841606668,3480139284,4,735,0
1,5876816909,1101278109,102082148,6,636,0
0,3873883058,6417802407,8476440821,6,756,0
1,344565807,4603413081,5743249036,5,653,0
1,2762785258,4325307754,5305563541,7,685,0
0,379611828,5896570324,7783942879,4,682,0
0,2699789507,6804998763,4140615383,7,774,0
1,5207648647,8965955823,879917105,5,697,0
0,3214882664,1999123479,5342372172,3,614,0
5,4720508454,2794797458,9209059824,3,584,1
1,2267137681,4199813052,344916855,4,641,0
0,1513430554,2244788712,235592695,4,643,0
0,2531447219,4757480327,4989287125,4,680,0
1,3606145796,6250846741,6075629889,5,679,0
0,1796157595,2207473922,2501049189,3,563,0
0,2299140531,2811547627,3648306858,3,742,0
5,3119189274,1470721334,5233750182,2,532,1
5,4615493085,1478473985,5755867918,6,607,1
4,1676725984,76475926,3373256011,4,686,1
0,357501957,5101294701,6322638732,5,634,0
2,4211644124,8643382528,690784778,7,730,0
1,2415207956,4946684255,6212291383,6,545,0
0,4790726048,3236670635,7346687582,5,531,0
1,288487081,3317616697,4987052536,7,697,0
0,3924027779,12696574,5071261537,1,677,0
0,3294758388,1939218362,6284321378,5,656,0
2,2785562364,6000632244,4732874131,5,634,0
1,5253969111,8804099595,7676975496,5,751,0
1,3459988698,5361699369,5977198294,6,645,0
0,3874611528,3206100312,7226690664,6,587,0
2,4243873888,8509170811,7464489747,6,555,0
5,6120536516,2622102363,9220228574,4,556,1
1,3949704843,9605213264,8556577455,5,648,0
4,3872037505,2056388969,9759082395,7,562,0
1,3966361901,6527980392,5960204717,6,596,0
0,4146561685,5398562837,6437534127,3,554,0
1,4009047569,7732618698,9052596665,6,667,0
4,3100809827,1405489085,5252144393,3,632,1
2,3206807748,1133142777,6316828394,3,525,0
0,4110704846,3694286204,6071799748,3,649,0
5,616380366,2289173376,7487965589,3,587,1
1,4110069891,4137760699,5941210933,6,712,0
1,5223989125,7286720638,8099162193,5,667,0
0,3245900545,5009467425,6742665003,6,645,0
1,6254294876,1140709564,9094914318,3,646,0
4,4104430298,1423309362,6348952438,5,606,1
0,4277033817,4359413104,5889309953,4,598,0
1,4371119339,6693943774,6284260262,6,612,0
5,4489257545,1725983077,6840178688,2,490,1
4,4524685153,1576959733,7882916466,7,635,0
0,2857504441,4060096054,4506501727,4,694,0
1,6344103973,7070706589,7604741915,5,686,0
0,686267927,7079410363,9970010233,3,655,0
0,3417068064,3531732672,5060567841,4,521,0
0,501865874,6452636268,1017856326,4,672,0
3,5789876446,1308975902,852995896,6,533,0
1,3379990953,44981144,5564125311,6,673,0
0,3815773053,4200687468,5875799978,2,683,0
2,5194982427,8474763456,6381434365,3,548,0
0,3136403561,3087738958,5731821955,6,628,0
2,3740981862,9458390922,6641717914,8,749,0
4,6385692022,2603090423,1050211982,5,607,1
0,3175865888,3578399513,4846667143,4,685,0
4,4250229531,1193799899,6170529339,8,650,0
3,3975339515,1180940062,643451119,4,568,0
1,642552202,9610401872,8951187532,4,681,0
2,5020632179,8967049059,7404440332,8,662,0
0,509576272,7560917967,9214533913,4,566,0
0,3227726625,2620095856,4517662211,6,580,0
1,6160555766,1101764312,9141751615,7,597,0
2,4241954095,1281787288,8156523724,4,656,0
3,3456057137,935940711,5567987011,8,741,0
0,411977832,560084323,7258389993,5,695,0
0,2130744776,2260426609,4085425593,3,669,0
2,2420921903,4096213675,4049183663,7,716,0
1,4632523416,6998099411,832676424,7,666,0
1,5652163333,747188945,9384757552,6,733,0
0,124536597,636920466,1846458613,3,475,0
0,3648628104,2660769199,5332152026,3,558,0
5,4353616955,2691899298,8532042731,4,589,1
0,6283730938,2867416421,9242901896,3,633,0
5,6465619257,2578852416,8620990661,4,686,1
0,2554192452,2032891786,627944263,4,689,0
5,3303413563,1408108903,5406582427,3,673,1
3,1838417197,9226523255,4072400693,5,649,0
5,5827699094,2659577806,8840412011,2,579,1
0,2955884729,2922809204,4647117864,4,592,0
0,6125745268,2375164565,8648223586,2,591,0
5,260955343,1203106091,4110584434,5,728,1
0,2322380465,2440027074,3849215745,4,649,0
5,3953622655,1665262854,5621961162,3,642,1
2,6358093287,1661019224,9543026906,5,626,0
1,7729706822,1988146746,1908280078,3,615,0
0,3702538282,2408572436,7549927123,5,655,0
1,4250859078,6010114775,7305785734,7,752,0
3,5958102339,129414633,7000234484,4,582,0
5,3479502788,1493180856,5698892226,4,520,1
2,3325686655,1313421962,8601203221,4,626,0
0,4738594387,6702079563,9498272693,3,637,0
5,4194339297,1794014287,6718866182,3,558,1
1,5720344503,1021700208,8932199075,6,715,0
0,4545342262,655499744,8155614511,5,547,0
0,6631715979,8289561229,1031717885,3,683,0
0,2863629712,2979892352,4910701107,2,669,0
2,6263446796,1552582364,8638875053,5,616,0
3,5268472872,1719148776,8427181285,4,606,0
0,3494585538,5019361403,7463960108,3,682,0
1,2233040504,546221697,4957176917,6,694,0
0,5413322548,3473557926,7327728454,4,571,0
5,5069924765,2706174485,877528963,4,605,1
0,672454209,373862143,8701298514,2,760,0
0,3278505192,4650685435,6448968835,5,648,0
0,4694615787,4860423871,7400695216,4,693,0
4,4881630077,1983704438,8252613401,5,652,1
0,4224620829,3210856377,8734192211,5,706,0
1,4366062947,1141762362,9632980726,3,585,0
0,1628224064,1178728237,2294551843,3,613,0
2,3736312607,1022241948,5982647942,3,640,0
1,2503071141,3989566811,3577583173,6,674,0
0,5754108133,1727817099,7316831154,4,594,0
1,4046886347,8056459594,6715601152,5,696,0
1,4821075352,7447861135,8090649679,6,595,0
4,3889452505,1457286442,5859322685,2,682,1
0,333848609,5389226165,7077995097,5,522,0
0,3312712812,29329688,5984570049,5,710,0
2,7757389118,1384732655,105325469,6,673,0
0,214199784,2516832393,425005186,3,631,0
2,3353219834,778464305,525039492,7,775,0
0,5444719522,6443983359,7219037068,4,683,0
0,1791898603,2484332424,4347480633,4,615,0
4,7257145233,338465435,1213460514,0,692,1
5,7516613946,3443128513,110858505,3,659,1
5,3838979905,1798711053,6936465894,6,523,1
1,4442595893,5781417232,7684299478,7,653,0
0,4085634878,8206393796,8206393796,4,557,0
2,3973657805,9369089493,6368796336,5,725,0
1,5318358155,684642862,9013715643,5,645,0
3,5043896491,1481674108,8348106361,5,643,0
1,3692192911,6227510502,6436464003,7,656,0
2,8729634257,1518099072,1162898622,5,547,0
3,5737754755,1700967596,8115056651,5,591,0
1,5288426456,5237528081,8391092987,6,670,0
1,5192897588,1191863576,8746695298,3,535,0
2,4865847316,1523816133,9376887711,6,680,0
0,2582405695,1459953649,3990680807,2,604,0
0,4613023974,662904622,1025967528,2,587,0
2,1559787581,4601123932,2548921675,3,680,0
0,3964219887,3297161548,5898156294,2,610,0
1,4686171327,6981038364,6679816522,5,688,0
0,7870565358,5059104252,9664944895,6,736,0
0,4232818033,5699713752,7701316561,5,629,0
0,4175187748,2875543945,595083302,4,565,0
0,2492606451,4228410783,5130471935,5,635,0
5,627760766,2926830503,9676669729,4,502,1
0,3420828745,3552974616,6283886515,5,751,0
3,4646266068,1344232491,6070168951,2,636,1
1,2602371704,5358833175,5310993483,7,637,0
5,8638366979,3278935274,1116314497,4,627,1
1,1398610404,2649708007,2197697259,4,808,0
0,4073509733,2605016456,5872257072,5,628,0
5,5147240256,2417204657,802635013,5,699,1
0,2044175904,282232483,5329182315,5,571,0
5,1161622575,4358676331,1567904216,3,656,1
0,2400011482,2940287718,4117941264,3,702,0
0,4408530867,6526566353,8085542605,3,598,0
1,6055781329,1166925375,9446180098,3,583,0
1,3562599104,5049934779,5195808895,6,585,0
0,3048242505,232084863,5168657087,3,631,0
0,3480248736,5225467493,5470268846,4,710,0
0,5539953278,601877226,8238301556,4,587,0
4,3103399217,1322235757,5694383738,5,595,1
1,5315399029,1210595241,1160336859,5,718,0
1,5103454463,649428236,7011971569,4,696,0
0,3182855198,5625584262,6630575915,5,641,0
0,4414107643,8292948642,7864436769,5,597,0
0,2782976666,4693405651,6157474352,5,636,0
3,213455906,6982246551,3395582279,2,622,1
0,4108411025,6109221156,6840383758,4,705,0
3,3518762182,132868404,6681245997,5,627,0
1,6213579561,1145060109,1008368991,4,587,0
5,4424819601,2038426767,7398350212,5,466,1
3,4149558504,1261142901,6898927516,4,676,0
5,4655037497,1780515733,6187803605,4,665,1
0,477475626,4469535616,7777230174,6,645,0
5,4280901448,2133762586,7120707966,3,536,1
0,1900986419,3847513701,4125323552,4,670,0
2,5149749879,1124829766,7655843967,3,577,0
0,1798781031,1125853784,3096575281,6,648,0
2,2886299266,8551678397,7242127727,8,693,0
5,4526204583,1826357037,68132125,2,638,1
0,3593848813,6484536847,6484536847,5,653,0
1,4380282081,7210509415,8180558229,6,726,0
0,4288289789,3218942708,7586645738,2,610,0
1,2837829935,5097639862,5639390288,5,607,0
1,5050294751,8271918182,7795406858,6,744,0
3,2083689551,5628897462,3774953899,7,708,0
0,30412662,3628841776,4944567245,4,640,0
0,280836336,6337052285,5988720754,4,642,0
0,3877815839,7412771296,8056818389,4,655,0
0,2853326396,3086037758,4383853453,5,536,0
0,228240746,2915238449,4030778339,3,573,0
5,4029120901,236080297,7068873847,4,596,1
5,3837924807,2010533823,60772965,4,578,1
2,3688934763,8472725133,6083793048,6,678,0
0,39836763,6719219449,9395624066,6,481,0
1,3647987402,4436611986,6180709221,6,626,0
0,3928799813,2929216684,5925886563,6,599,0
0,4480301345,7388165976,8399812004,3,671,0
1,392139497,7101469091,6413813594,5,719,0
0,4428731632,1871354794,7862165929,4,652,0
0,3296807754,3882950911,5819452692,4,689,0
3,3477427531,1170317663,5682966987,3,672,1
0,5295409696,7681703656,6991365807,2,686,0
1,2279573451,4207273725,3865646856,4,508,0
5,6612864461,2686780342,9548420393,3,508,1
3,359264706,1383280847,6680685845,6,632,0
0,5254585205,4235009482,7872773528,6,674,0
1,6132273139,1144189538,8771839444,5,711,0
0,2788659451,4281230091,6589418233,5,610,0
5,578108226,2638209481,8383847345,4,611,1
5,5700276794,2648838806,9240895124,3,563,1
0,4084190132,1954807927,7176578224,4,687,0
0,3125744929,5527530353,8891364545,6,680,0
1,5654793166,6422752118,8343335351,5,617,0
0,2407832733,3965907967,4111664213,4,650,0
1,628885966,8659953799,8757008513,4,691,0
1,3900251669,7899511848,7933186049,5,630,0
0,1820797385,3193597105,4294518409,6,647,0
0,4666030644,2868036196,688000631,5,731,0
4,5759938932,2207514038,8261351713,3,648,1
0,6769018957,3353974162,9835851469,1,632,0
5,492418635,1922227301,6877297856,2,644,1
1,4546658146,9184921934,7889765907,5,701,0
0,2701848689,3896229771,6304580042,5,597,0
5,1638272823,9853210742,3118011516,2,618,1
0,43092374,4339783315,6662725159,5,586,0
0,4553580228,9425882575,9425882575,5,606,0
0,4917211867,7313751921,9353348746,3,608,0
0,2886126559,5083890754,6305382913,3,601,0
1,2786896539,8267909213,7894505344,5,611,0
1,2653699417,5212351275,4863433793,6,604,0
0,6497219051,9015379962,1243171693,4,610,0
1,6605685327,1308573352,844277947,3,684,0
1,5387692424,8408482367,7727127691,5,658,0
5,2312683171,2373439916,6645011905,5,557,1
3,4921612545,127959136,6940704713,4,607,0
1,5057670629,1022047239,1001139828,6,539,0
2,4265324672,1099281977,7017459124,5,665,0
1,4379556894,689511199,6676416367,6,666,0
1,3097726306,5869772482,4660189065,5,746,0
0,5587896567,6187078156,9364305616,3,547,0
1,4018074746,5967563042,6102969369,5,683,0
0,6340113662,2492875088,1112726914,2,572,0
0,4618442648,2520068873,6694165827,3,647,0
0,5047954915,6863730333,766141146,5,614,0
2,3409418479,897727172,7966398756,6,555,0
1,2318533799,3953867057,3530343939,7,555,0
4,5684717836,1765518611,8696627279,5,536,1
0,3834651319,4786764461,6627755024,5,670,0
0,6267988685,5396157444,8887879936,3,627,0
0,3960814612,6746168643,7346925763,3,609,0
0,4130422885,1749347943,590019326,2,484,0
0,2379489254,1402773808,509284222,4,585,0
2,3637942605,1181670657,6741203101,3,596,0
1,4455630481,8261398433,8308912888,7,671,0
2,3619857951,1101295755,6177064478,3,601,0
5,5359113941,2288682158,8347758338,3,640,1
1,450865364,8907094594,8113116826,6,548,0
1,569761176,9131977778,8112404055,4,698,0
0,5465042881,4614327075,8345452049,4,615,0
5,4441486094,2283888517,8190015244,3,610,1
1,3173914292,4546234225,474842021,6,657,0
4,3124798694,1479112847,5961190764,5,631,1
0,9052093892,9181759316,1359198801,3,604,0
0,6154415356,6771136437,9951482254,5,545,0
0,6213438662,7180073417,990211212,3,607,0
0,4436199793,5565214454,897028067,5,610,0
1,5010449435,6911100617,9651650602,6,663,0
0,5340757819,8525185924,1030510367,2,653,0
2,3325400553,1149939887,7554789838,6,584,0
1,6153012943,9061335288,9684938005,6,666,0
0,3292188352,2949064575,469914853,7,577,0
1,3660536151,8793596901,9016441756,6,687,0
0,7089332494,9363888894,9910105058,2,622,0
0,5754654029,7767055886,9438914845,4,693,0
5,5891156178,2557743285,908704711,5,626,1
0,2157762442,2790476569,4623674592,5,693,0
5,3153385598,1463087142,582293543,6,753,1
0,502013405,3107615511,7551635329,6,665,0
0,4871100079,6619755852,8720359129,3,558,0
1,5614370388,991201529,1082360125,4,695,0
0,3766637723,375340006,7105997521,6,780,0
1,5005591589,1174684563,9454530593,3,669,0
0,3454158193,3695674532,6000369047,3,527,0
0,5405945246,8154583601,8154583601,9,640,0
0,4674442845,6882444352,7656187119,4,681,0
2,2700877759,7871665425,8006955102,8,562,0
5,2943299109,11209823,4340091984,5,516,1
5,7280118265,2546908236,8457850142,5,647,1
0,2997795722,4943259252,5360680963,3,657,0
1,3558551904,523117193,5320070056,6,532,0
2,1443092704,2873832659,2083332883,4,641,0
1,3068122205,7110573802,5886079063,6,733,0
5,499808028,3283564698,1018955204,3,624,1
1,2918616495,4933121226,4821400366,5,620,0
0,3128706822,5915588373,7286619563,3,612,0
0,3377608036,4727617769,7094232723,6,573,0
0,4522117563,9952418003,9952418003,5,623,0
5,5166789359,3075814262,893358922,4,602,1
1,4281706874,8447159474,7905621389,6,734,0
0,2622813792,214484666,5199676784,4,626,0
1,3677210009,3805643206,4866214114,5,620,0
0,2382222327,3570585473,4686303109,4,628,0
3,3773332904,1432053159,8332864148,8,612,0
0,2934815804,2291606183,3964695724,4,703,0
0,5123345558,218234165,8209443382,7,604,0
3,4201989815,1071460115,6091100277,4,614,0
0,4230361861,226881345,6851497134,5,555,0
4,3446644152,1222978412,6265546052,7,616,0
0,439370835,289127095,5082003378,5,652,0
0,545758848,8720692128,8810989895,4,647,0
1,6321090467,8821469102,8405291329,3,626,0
1,3515827862,5230565,5134419587,5,617,0
1,5983539759,1154217926,1292284177,6,612,0
5,5401055102,2157390547,8581830865,5,530,1
2,3930164656,104947323,7097015464,6,674,0
1,6110090487,9829006753,9173861127,2,581,0
4,3829419338,1921234309,8249531812,2,553,1
5,4673288856,1768172186,6654812035,4,537,1
0,2166350789,3560775686,4546054553,2,611,0
0,5581538234,3949622698,9447816604,5,637,0
0,2969636484,3474775282,4037944864,3,732,0
2,5695754582,1193056192,9768338534,6,726,0
1,4505396939,6016389329,7561306858,7,697,0
1,2519996448,5912098261,5230947538,5,740,0
5,4110596342,1581748591,5997681892,3,636,1
0,3551594434,5267550035,5267550035,5,660,0
0,4140176184,5127657972,7954479099,4,598,0
1,3366178871,4719255783,5523635115,5,603,0
3,4273784932,124081039,744711917,6,578,0
1,4337311569,9675510153,8609109183,4,666,0
1,3891411867,8388549944,7494819915,6,646,0
0,3630747625,2951362789,5483311105,5,674,0
1,3133947475,8395364247,6564061526,4,621,0
5,3226790388,1259981008,4642398994,4,536,1
1,2737156028,4354625035,5448562362,6,719,0
0,5679216089,4913049765,7611271618,3,697,0
5,1035472592,5006408902,1529600237,5,682,1
3,4490093963,1238055361,6589077316,2,561,1
0,5192785557,8355300806,8355300806,2,634,0
1,3250544928,9120081344,6962399715,6,604,0
5,5742279911,221488414,8312752573,2,591,1
3,5310705054,1555168156,8981764567,3,683,0
1,3849076893,5591260511,5896582907,5,687,0
0,3096415319,2414259504,4292327529,3,690,0
0,355891254,4723573449,5172357966,3,544,0
3,5254532286,2016070392,9527029507,3,524,1
0,4283135082,2308761156,6480064789,6,814,0
0,5891878065,973103779,9816481132,3,724,0
1,555444596,1000013767,804315035,3,679,0
1,3884599459,6469556288,700262534,6,597,0
4,1703316735,5331418423,2288878618,4,622,1
1,2093452909,7905198353,696297104,5,663,0
0,6655690187,1111666854,9575659573,3,713,0
0,3972967487,5135038226,8487438523,5,631,0
1,4672306185,7903834833,6814960451,4,629,0
5,2109723734,1129977189,4191988978,5,713,1
2,4729811641,1601988834,8643704162,2,676,0
4,5400654736,2601714748,1174933115,6,508,1
0,2048868983,1757924084,3144986743,6,743,0
0,6935374223,6869651496,8576638099,5,665,0
4,3458749444,1407371459,5993528961,7,654,0
4,5595930322,192890741,7533718447,0,533,1
4,4984262439,1461863272,71013847,6,623,1
3,650966362,1740234246,8722175506,4,640,0
1,3106504103,4310415509,5904770868,7,693,0
4,8355754168,2579280715,1238457597,7,663,0
1,3920750509,6148309852,6589053226,5,656,0
1,4459889611,805283855,9366787458,5,561,0
0,5762513208,5193353144,8988121686,2,602,0
0,2822345866,5725358519,6201585653,5,616,0
0,2917139643,6285783169,5592684659,9,606,0
4,4191175033,177352477,7677064923,6,581,1
0,3966069174,1655512036,6399526829,4,678,0
4,3527717443,1449936506,687734951,8,605,0
1,6113558619,8885937572,9320328267,6,603,0
1,5327604447,9376962819,9373278503,6,677,0
0,4795717975,7512313541,7333588904,2,676,0
5,6228753148,2836421558,8683890302,1,570,1
0,3536643049,5565715227,7409344252,3,646,0
0,3618870877,347304407,6016543258,3,633,0
0,6374746807,6432321109,8571076384,3,724,0
0,3011054165,5148790769,6642791987,5,724,0
1,4321062798,9691478715,802912004,6,695,0
0,7083784269,7606396734,9473688341,4,734,0
3,5826998331,1223698904,8061616666,5,637,0
1,3150989102,5471957211,5893760381,8,631,0
1,2706329226,5249770841,4092397459,5,686,0
1,3358223486,5470835315,6788270165,5,587,0
1,5328079615,5954959372,8109922742,7,661,0
1,4349851362,8250744791,7684923714,6,644,0
1,2640865338,5928048759,4633128142,6,617,0
0,3463680585,4810319858,5114880896,3,669,0
0,3818930678,3461125547,6254815822,5,659,0
5,2473637175,2049948439,6641533298,4,603,1
0,388948117,3277362689,6569506604,4,549,0
4,2612715711,1097246661,5108805689,5,674,1
1,3824618421,7563381007,6632001394,6,603,0
2,2073519465,5622623143,3770197708,5,608,0
0,6290500877,6656924323,8960299068,3,746,0
3,5539634242,1299039432,7629736814,5,618,0
0,5379229292,7542785637,104404944,5,628,0
1,4342551197,7797452347,7000854597,5,711,0
2,4489543515,1288518901,7728017826,3,626,0
0,5117821054,5222287336,9559359697,6,626,0
0,3566713868,4298457446,55400083,2,560,0
2,28116117,910913079,6276696655,8,680,0
1,3820854472,1053226156,8332437283,5,698,0
0,4043222083,6417847757,7709930733,5,669,0
0,3736527292,7864746186,1071435736,7,674,0
2,5330784282,1230137925,9382655424,6,699,0
1,2804424887,6449833246,5748817344,6,672,0
0,2306059496,428330369,4574776502,2,629,0
